Name;MP;Region;County Area;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Bracknell;Phillip Lee;19;Berkshire;78131;29606;8956;3983;8339;2202;0;0;0
Bradford East;Imran Hussain;7;West Yorkshire;66123;4682;19312;12228;4103;871;0;0;210
Bradford South;Judith Cummins;7;West Yorkshire;63670;9878;16328;1094;9057;1243;0;0;0
Bradford West;Naseem Shah;7;West Yorkshire;63371;6160;19977;1173;3140;1085;0;8557;198
Braintree;James Cleverly;14;Essex;73557;27071;9296;2488;9461;1564;0;0;403
Brent Central;Dawn Butler;16;Brent;77038;9567;29216;3937;1850;1912;0;0;550
Brent North;Barry Gardiner;16;Brent;82196;17517;28351;2607;2024;1539;0;0;197
Brentford and Isleworth;Ruth Cadbury;17;Hounslow;84557;24631;25096;2305;3203;2120;0;0;0
Brentwood and Ongar;Eric Pickles;14;Essex;72461;30534;6492;4577;8724;1397;0;0;173
Bridgwater and West Somerset;Ian Liddell-Grainger;18;Somerset;80491;25020;9589;6765;10437;2636;0;0;0
Brigg and Goole;Andrew Percy;8;Humber area;68486;22946;11770;764;6694;915;0;0;181
Brighton Kemptown;Simon Kirby;20;East Sussex;67858;18428;17738;1365;4446;3187;0;0;142
Brighton Pavilion;Caroline Lucas;20;East Sussex;76557;12448;14904;1525;2724;22871;0;0;204
Bristol East;Kerry McCarthy;15;Bristol area;71965;14168;18148;2689;7152;3827;0;0;229
Bristol North West;Charlotte Leslie;15;Bristol area;76626;22767;17823;3214;4889;2952;0;0;160
Bristol South;Karin Smyth;15;Bristol area;81996;12377;19505;4416;8381;5861;0;0;302
Bristol West;Thangam Debbonaire;15;Bristol area;89198;9752;22900;12103;1940;17227;0;0;296
Broadland;Keith Simpson;13;Norfolk;74680;26808;9970;5178;8881;2252;0;0;0
Bromley and Chislehurst;Bob Neill;17;Bromley;65476;23343;9779;2836;6285;1823;0;0;0
Bromsgrove;Sajid Javid;11;Hereford and Worcestershire;73329;28133;11604;2616;8163;1729;0;0;0
Broxbourne;Charles Walker;14;Hertfordshire;72944;25797;8470;1467;9074;1216;0;0;0
Broxtowe;Anna Soubry;10;Nottinghamshire;71865;24163;19876;2120;5674;1544;0;0;63
Buckingham;John Bercow;14;Buckinghamshire;77572;34617;0;0;11675;7400;0;0;0
Burnley;Julie Cooper;5;Lancashire;64486;5374;14951;11707;6864;850;0;0;0
Burton;Andrew Griffiths;11;Staffordshire;75300;24736;13484;1232;8658;1224;0;0;0
Bury North;David Nuttall;6;Western Manchester;67580;18970;18592;932;5595;1141;0;0;0
Bury South;Ivan Lewis;6;Western Manchester;73883;16350;21272;1690;6299;1434;0;0;170
Bury St Edmunds;Jo Churchill;13;Suffolk;85993;31815;10514;3581;8739;4692;0;0;0
Calder Valley;Craig Whittaker;7;West Yorkshire;77753;23354;18927;2666;5950;2090;0;0;554
Camberwell and Peckham;Harriet Harman;17;Southwark;80507;6790;32614;2580;2413;5187;0;0;1977
Camborne and Redruth;George Eustice;18;Cornwall;66944;18452;11448;5687;6776;2608;0;0;897
Cambridge;Daniel Zeichner;13;Cambridgeshire;83384;8117;18646;18047;2668;4109;0;0;187
Cambridgeshire North East;Stephen Barclay;13;Cambridgeshire;82990;28524;7476;2314;11650;1816;0;0;0
Cambridgeshire North West;Shailesh Vara;13;Cambridgeshire;91783;32070;10927;3479;12275;2159;0;0;190
Cambridgeshire South;Heidi Allen;13;Cambridgeshire;84132;31454;10860;9368;6010;3848;0;0;0
Cambridgeshire South East;Lucy Frazer;13;Cambridgeshire;84570;28845;9013;12008;6593;3047;0;0;0
Cannock Chase;Amanda Milling;11;Staffordshire;74531;20811;15888;1270;8224;906;0;0;0
Canterbury;Julian Brazier;20;Kent;83481;22918;13120;6227;7289;3746;0;0;165
Carlisle;John Stevenson;4;Cumbria;65827;18873;16099;1087;5277;1125;0;0;126
Carshalton and Wallington;Tom Brake;17;Sutton;69866;15093;7150;16603;7049;1492;0;0;226
Castle Point;Rebecca Harris;14;Essex;68170;23112;6283;801;14178;1076;0;0;0
Charnwood;Edward Argar;10;Leicestershire;77269;28384;11453;3605;8330;0;0;0;489
Chatham and Aylesford;Tracey Crouch;20;Kent;68625;21614;10159;1360;8581;1101;0;0;258
Cheadle;Mary Robinson;6;Eastern Manchester;73239;22889;8673;16436;4423;0;0;0;674
Chelmsford;Simon Burns;14;Essex;78580;27732;9482;6394;7652;1892;0;0;665
Chelsea and Fulham;Greg Hands;16;Hammersmith and Fulham;63478;25322;9300;2091;2039;1474;0;0;0
Cheltenham;Alex Chalk;15;Gloucestershire;77286;24790;3902;18274;3808;2689;0;0;272
Chesham and Amersham;Cheryl Gillan;14;Buckinghamshire;73423;31138;6712;4761;7218;2902;0;0;0
Chester, City of;Chris Matheson;11;Cheshire;72269;22025;22118;2870;4148;0;0;0;0
Chesterfield;Toby Perkins;10;Derbyshire;72078;8231;21829;6301;7523;1352;0;0;331
Chichester;Andrew Tyrie;20;West Sussex;83575;32953;6933;4865;8540;3742;0;0;106
Chingford and Woodford Green;Iain Duncan Smith;16;Waltham Forest;66691;20999;12613;2400;5644;1854;0;0;294
Chippenham;Michelle Donelan;15;Wiltshire;74225;26354;4561;16278;5884;2330;0;0;0
Chipping Barnet;Theresa Villiers;16;Barnet;77853;25759;18103;2381;4151;2501;0;0;118
Chorley;Lindsay Hoyle;5;Lancashire;74679;18792;23322;1354;6995;1111;0;0;138
Christchurch;Christopher Chope;18;Dorset;69302;28887;4745;3263;10663;2149;0;0;0
Cities of London and Westminster;Mark Field;16;City of Westminster;60992;19570;9899;2521;1894;1953;0;0;348
Clacton;Douglas Carswell;14;Essex;68936;16205;6364;812;19642;1184;0;0;0
Cleethorpes;Martin Vickers;8;Humber area;70514;21026;13133;1346;8356;1013;0;0;215
Colchester;Will Quince;14;Essex;74203;18919;7852;13344;5870;2499;0;0;109
Colne Valley;Jason McCartney;7;West Yorkshire;82510;25246;19868;3407;5734;1919;0;0;626
Congleton;Fiona Bruce;11;Cheshire;72398;27164;10391;4623;6922;1876;0;0;0
Copeland;Jamie Reed;4;Cumbria;62119;14186;16750;1368;6148;1179;0;0;0
Corby;Tom Pursglove;13;Northamptonshire;79775;24023;21611;1458;7708;1374;0;0;0
Cornwall North;Scott Mann;18;Cornwall;67192;21689;2621;15068;6121;2063;0;0;683
Cornwall South East;Sheryll Murray;18;Cornwall;71071;25516;4692;8521;7698;2718;0;0;1353
Cotswolds, The;Geoffrey Clifton-Brown;15;Gloucestershire;78292;32045;5240;10568;6188;2626;0;0;0
Coventry North East;Colleen Fletcher;9;Coventry and Solihull;76401;9751;22025;2007;6278;1245;0;0;925
Coventry North West;Geoffrey Robinson;9;Coventry and Solihull;74597;14048;18557;1810;7101;1961;0;0;1769
Coventry South;Jim Cunningham;9;Coventry and Solihull;71380;15284;18472;1779;5709;1719;0;0;736
Crawley;Henry Smith;20;West Sussex;73940;22829;16303;1339;6979;1100;0;0;0
Crewe and Nantwich;Edward Timpson;11;Cheshire;74039;22445;18825;1374;7252;0;0;0;0
Croydon Central;Gavin Barwell;17;Croydon;78171;22753;22588;1152;4810;1454;0;0;184
Croydon North;Steve Reed;17;Croydon;85951;12149;33513;1919;2899;2515;0;0;527
Croydon South;Chris Philp;17;Croydon;82010;31448;14308;3448;6068;2154;0;0;286
Dagenham and Rainham;Jon Cruddas;16;Barking and Dagenham;69049;10492;17830;717;12850;806;0;0;355
Darlington;Jenny Chapman;4;Durham;65832;14479;17637;1966;5392;1444;0;0;223
Dartford;Gareth Johnson;20;Kent;76686;25670;13325;1454;10434;1324;0;0;211
Daventry;Chris Heaton-Harris;13;Northamptonshire;72753;30550;9491;2352;8296;1829;0;0;0
Denton and Reddish;Andrew Gwynne;6;Eastern Manchester;66574;9150;19661;957;7225;1466;0;0;222
Derby North;Amanda Solloway;10;Derbyshire;64739;16402;16361;3832;6532;1618;0;0;0
Derby South;Margaret Beckett;10;Derbyshire;70247;11179;20007;1717;6341;1208;0;0;368
Derbyshire Dales;Patrick McLoughlin;10;Derbyshire;63470;24805;10761;3965;5508;2173;0;0;149
Derbyshire Mid;Pauline Latham;10;Derbyshire;67576;24908;12134;2292;6497;1898;0;0;0
Derbyshire North East;Natascha Engel;10;Derbyshire;71456;17605;19488;2004;7631;1059;0;0;161
Derbyshire South;Heather Wheeler;10;Derbyshire;74395;25066;13595;1887;8998;1216;0;0;0
Devizes;Claire Perry;15;Wiltshire;69211;28295;6360;3954;7544;2853;0;0;0
Devon Central;Mel Stride;18;Devon;72737;28436;6985;6643;7171;4866;0;0;347
Devon East;Hugo Swire;18;Devon;74224;25401;5591;3715;6870;0;0;13140;0
Devon North;Peter Heaton-Jones;18;Devon;74737;22341;3699;15405;7719;3018;0;0;138
Devon South West;Gary Streeter;18;Devon;71035;28500;8391;3767;7306;2408;0;0;0
Devon West and Torridge;Geoffrey Cox;18;Devon;78582;28774;6015;7483;10371;3941;0;0;0
Dewsbury;Paula Sherriff;7;West Yorkshire;79765;20955;22406;1924;6649;1366;0;0;330
Don Valley;Caroline Flint;8;South Yorkshire;71299;10736;19621;1487;9963;0;0;0;679
Doncaster Central;Rosie Winterton;8;South Yorkshire;71136;8386;19840;1717;9747;0;0;0;730
Doncaster North;Ed Miliband;8;South Yorkshire;70898;7235;20708;1005;8928;757;0;448;420
Dorset Mid and Poole North;Michael Tomlinson;18;Dorset;68917;23639;2767;13109;5663;1321;0;0;0
Dorset North;Simon Hoare;18;Dorset;74576;30227;4785;6226;9109;3038;0;0;0
Dorset South;Richard Drax;18;Dorset;71974;23756;11762;2901;7304;2275;0;0;599
Dorset West;Oliver Letwin;18;Dorset;78427;28329;5633;12199;7055;3242;0;0;0
Dover;Charlie Elphicke;20;Kent;72929;21737;15443;1572;10177;1295;0;0;0
Dudley North;Ian Austin;9;Black Country;60718;11704;15885;478;9113;517;0;0;295
Dudley South;Mike Wood;9;Black Country;60363;16723;12453;828;7236;970;0;0;0
Dulwich and West Norwood;Helen Hayes;17;Lambeth;75244;11650;27772;5055;1606;4844;0;0;435
Durham North;Kevan Jones;4;Durham;65373;8403;22047;2046;6404;1246;0;0;0
Durham North West;Pat Glass;4;Durham;69817;10018;20074;3894;7265;1567;0;0;0
Durham, City of;Roberta Blackman-Woods;4;Durham;68741;10157;21596;5153;5232;2687;0;0;844
Ealing Central and Acton;Rupa Huq;17;Ealing;71238;21728;22002;3106;1926;1841;0;0;291
Ealing North;Stephen Pound;17;Ealing;73836;14419;26745;1575;3922;1635;0;0;214
Ealing Southall;Virendra Sharma;17;Ealing;65495;9387;28147;1550;1769;2007;0;0;461
Easington;Grahame Morris;4;Durham;61675;4478;21132;834;6491;733;0;810;146
East Ham;Stephen Timms;16;Newham;87378;6311;40563;856;2622;1299;0;0;639
Eastbourne;Caroline Ansell;20;East Sussex;78262;20934;4143;20201;6139;1351;0;0;139
Eastleigh;Mims Davies;19;Hampshire;79609;23464;7181;14317;8783;1513;0;0;247
Eddisbury;Antoinette Sandbach;11;Cheshire;68636;24167;11193;4289;5778;1624;0;0;301
Edmonton;Kate Osamor;16;Enfield;66015;9969;25388;897;3366;1358;0;0;360
Ellesmere Port and Neston;Justin Madders;11;Cheshire;68134;16041;22316;1563;5594;990;0;0;223
Elmet and Rothwell;Alec Shelbrooke;7;West Yorkshire;79143;27978;19488;2640;6430;1261;0;0;0
Eltham;Clive Efford;17;Greenwich;63998;15700;18393;1308;6481;1275;0;0;0
Enfield North;Joan Ryan;16;Enfield;68119;19086;20172;1059;4133;1303;0;0;384
Enfield Southgate;David Burrowes;16;Enfield;64938;22624;17871;1518;2109;1690;0;0;0
Epping Forest;Eleanor Laing;14;Essex;73545;27027;7962;3448;9049;1782;0;0;80
Epsom and Ewell;Chris Grayling;19;Surrey;78633;33309;8866;5002;7117;2116;0;0;733
Erewash;Maggie Throup;10;Derbyshire;71937;20636;17052;1658;7792;1184;0;0;0
Erith and Thamesmead;Teresa Pearce;17;Bexley;69787;11684;21209;972;7368;941;0;0;443
Esher and Walton;Dominic Raab;19;Surrey;79894;35845;7229;5372;5551;2355;0;0;624
Exeter;Ben Bradshaw;18;Devon;76964;17879;25062;2321;5075;3491;0;0;190
Fareham;Suella Fernandes;19;Hampshire;77233;30689;7800;4814;8427;2129;0;0;841
Faversham and Kent Mid;Helen Whately;20;Kent;69523;24895;7403;3039;8243;1768;0;0;455
Feltham and Heston;Seema Malhotra;17;Hounslow;82328;14382;25845;1579;6209;1390;0;0;0
Filton and Bradley Stoke;Jack Lopresti;15;Bristol area;70722;22920;13082;3581;7261;2257;0;0;0
Finchley and Golders Green;Mike Freer;16;Barnet;72049;25835;20173;1662;1732;1357;0;0;0
Folkestone and Hythe;Damian Collins;20;Kent;83612;26323;7939;4882;12526;2956;0;0;384
Forest of Dean;Mark Harper;15;Gloucestershire;69882;23191;12204;2630;8792;2703;0;0;0
Fylde;Mark Menzies;5;Lancashire;65679;21406;8182;1623;5569;1381;0;5166;230
Gainsborough;Edward Leigh;8;Lincolnshire;73212;25949;10500;3290;7727;1290;0;0;505
Garston and Halewood;Maria Eagle;5;Merseyside;74063;6693;33839;2279;4482;1690;0;0;0
Gateshead;Ian Mearns;4;Newcastle area;63910;5502;21549;2585;6765;1548;0;0;0
Gedling;Vernon Coaker;10;Nottinghamshire;70046;17321;20307;1906;6930;1534;0;0;0
Gillingham and Rainham;Rehman Chishti;20;Kent;72609;22590;12060;1707;9199;1133;0;0;389
Gloucester;Richard Graham;15;Gloucestershire;82949;23837;16586;2828;7497;1485;0;0;342
Gosport;Caroline Dinenage;19;Hampshire;73271;26364;6926;3298;9266;1707;0;0;104
Grantham and Stamford;Nicholas Boles;8;Lincolnshire;81151;28399;9070;3263;9410;1872;0;0;1741
Gravesham;Adam Holloway;20;Kent;74307;23484;15114;1111;9306;1124;0;0;0
Great Grimsby;Melanie Onn;8;Humber area;58484;8874;13414;1680;8417;783;0;0;563
Great Yarmouth;Brandon Lewis;13;Norfolk;69793;19089;12935;1030;10270;978;0;0;167
Greenwich and Woolwich;Matthew Pennycook;17;Greenwich;73315;12438;24384;2645;3888;2991;0;0;370
Guildford;Anne Milton;19;Surrey;76554;30802;6534;8354;4774;2558;0;0;964
Hackney North and Stoke Newington;Diane Abbott;16;Hackney;83195;7349;31357;2492;1085;7281;0;0;323
Hackney South and Shoreditch;Meg Hillier;16;Hackney;79962;6420;30663;2186;1818;5519;0;0;1004
Halesowen and Rowley Regis;James Morris;9;Black Country;74203;18933;15851;905;7280;849;0;0;0
Halifax;Holly Lynch;7;West Yorkshire;70461;17078;17506;1629;5621;1142;0;0;777
Haltemprice and Howden;David Davis;8;Humber area;71205;26414;10219;3055;6781;1809;0;0;479
Halton;Derek Twigg;11;Cheshire;72818;8007;28292;1097;6333;1017;0;0;277
Hammersmith;Andy Slaughter;16;Hammersmith and Fulham;72254;17463;23981;2224;2105;2105;0;0;82
Hampshire East;Damian Hinds;19;Hampshire;72600;31334;5220;5732;6187;3176;0;0;0
Hampshire North East;Ranil Jayawardena;19;Hampshire;74025;35573;5290;5657;4732;2364;0;0;384
Hampshire North West;Kit Malthouse;19;Hampshire;79223;32052;7342;5151;8109;2541;0;0;0
Hampstead and Kilburn;Tulip Siddiq;16;Camden;80241;22839;23977;3039;1532;2387;0;0;190
Harborough;Edward Garnier;10;Leicestershire;77760;27675;8043;7037;7539;2177;0;0;0
Harlow;Robert Halfon;14;Essex;67994;21623;13273;904;7208;954;0;0;289
Harrogate and Knaresborough;Andrew Jones;7;North Yorkshire;77379;28153;5409;11782;5681;2351;0;0;0
Harrow East;Bob Blackman;16;Harrow;70890;24668;19911;1037;2333;846;0;0;205
Harrow West;Gareth Thomas;16;Harrow;69643;19677;21885;1567;2047;1310;0;0;117
Hartlepool;Iain Wright;4;Teesside;69516;8256;14076;761;11052;1341;0;2954;1050
Harwich and North Essex;Bernard Jenkin;14;Essex;69289;24722;9548;3576;8464;2122;0;0;0
Hastings and Rye;Amber Rudd;20;East Sussex;75095;22686;17890;1614;6786;1951;0;0;0
Havant;Alan Mak;19;Hampshire;70573;23159;7149;2929;9239;2352;0;0;0
Hayes and Harlington;John McDonnell;17;Hillingdon;74875;11143;26843;888;5388;794;0;0;0
Hazel Grove;William Wragg;6;Eastern Manchester;63098;17882;7584;11330;5283;1140;0;0;0
Hemel Hempstead;Michael Penning;14;Hertfordshire;74616;26245;11825;2402;7249;1660;0;0;252
Hemsworth;Jon Trickett;7;West Yorkshire;72714;9694;21772;1357;8565;0;0;0;1018
Hendon;Matthew Offord;16;Barnet;74658;24328;20604;1088;2595;1015;0;0;0
Henley;John Howell;15;Oxfordshire;78243;32292;6917;6205;6007;3815;0;0;0
Hereford and South Herefordshire;Jesse Norman;11;Hereford and Worcestershire;70711;24844;6042;5002;7954;3415;0;0;0
Herefordshire North;Bill Wiggin;11;Hereford and Worcestershire;66683;26716;5478;5768;6720;3341;0;0;0
Hertford and Stortford;Mark Prisk;14;Hertfordshire;78906;31593;10084;4385;7534;2681;0;0;0
Hertfordshire North East;Oliver Heald;14;Hertfordshire;73944;28949;9869;3952;6728;2789;0;0;0
Hertfordshire South West;David Gauke;14;Hertfordshire;79666;32608;9345;5872;6603;2583;0;0;256
Hertsmere;Oliver Dowden;14;Hertfordshire;73753;29696;11235;2777;6383;0;0;0;0
Hexham;Guy Opperman;4;Northumberland;60614;22834;10803;2961;4302;2445;0;0;0
Heywood and Middleton;Liz McInnes;6;Eastern Manchester;79989;9268;20926;1607;15627;1110;0;0;0
High Peak;Andrew Bingham;10;Derbyshire;73336;22836;17942;2389;5811;1811;0;0;0
Hitchin and Harpenden;Peter Lilley;14;Hertfordshire;74839;31488;11433;4484;4917;3053;0;0;0
Holborn and St Pancras;Keir Starmer;16;Camden;86864;12014;29062;3555;2740;7013;0;0;533
Hornchurch and Upminster;Angela Watkinson;16;Havering;79331;27051;11103;1501;13977;1411;0;0;193
Hornsey and Wood Green;Catherine West;16;Haringey;79241;5347;29417;18359;1271;3146;0;0;245
Horsham;Jeremy Quin;20;West Sussex;78181;32627;6499;6647;7969;2198;0;0;985
Houghton and Sunderland South;Bridget Phillipson;4;Newcastle area;68316;7105;21218;791;8280;1095;0;0;0
Hove;Peter Kyle;20;East Sussex;73505;20846;22082;1861;3265;3569;0;0;591
Huddersfield;Barry Sheerman;7;West Yorkshire;65265;10841;18186;2365;5948;2798;0;0;340
Hull East;Karl Turner;8;Humber area;65606;5593;18180;2294;7861;806;0;0;410
Hull North;Diana Johnson;8;Humber area;63650;5306;18661;3175;5762;2066;0;0;366
Hull West and Hessle;Alan Johnson;8;Humber area;59008;5561;15646;3169;6313;943;0;0;171
Huntingdon;Jonathan Djanogly;13;Cambridgeshire;82404;29652;10248;4375;9473;2178;0;0;0
Hyndburn;Graham Jones;5;Lancashire;68341;13676;18076;859;9154;1122;0;0;0
Ilford North;Wes Streeting;16;Redbridge;78162;20874;21463;1130;4355;1023;0;0;87
Ilford South;Mike Gapes;16;Redbridge;95023;13455;33232;1014;2705;1506;0;0;0
Ipswich;Ben Gummer;13;Suffolk;74498;21794;18061;1400;5703;1736;0;0;0
Isle of Wight;Andrew Turner;19;Hampshire;108804;28591;8984;5235;14888;9404;0;0;3198
Islington North;Jeremy Corbyn;16;Islington;73325;8465;29659;3984;1971;5043;0;0;112
Islington South and Finsbury;Emily Thornberry;16;Islington;68127;9839;22547;4829;3375;3371;0;0;309
Jarrow;Stephen Hepburn;4;Newcastle area;63882;6584;21464;1238;7583;1310;0;0;385
Keighley;Kris Hopkins;7;West Yorkshire;68865;21766;18713;1321;5662;1661;0;0;0
Kenilworth and Southam;Jeremy Wright;10;Warwickshire;65245;28474;7472;4913;5467;1956;0;0;509
Kensington;Victoria Borwick;16;Kensington and Chelsea;61333;18199;10838;1962;1557;1765;0;0;507
Kettering;Philip Hollobone;13;Northamptonshire;70155;24467;11877;1490;7600;1633;0;0;151
Kingston and Surbiton;James Berry;17;Kingston Upon Thames;81277;23249;8574;20415;4321;2322;0;0;372
Kingswood;Chris Skidmore;15;Bristol area;67992;23252;14246;1827;7133;1370;0;0;297
Knowsley;George Howarth;5;Merseyside;79109;3367;39628;1490;4973;1270;0;0;0
Lancashire West;Rosie Cooper;5;Lancashire;70945;16114;24474;1298;6058;1582;0;0;150
Lancaster and Fleetwood;Catherine Smith;5;Lancashire;60883;16378;17643;1390;4060;2093;0;0;174
Leeds Central;Hilary Benn;7;West Yorkshire;81799;7791;24758;1529;7082;3558;0;0;330
Leeds East;Richard Burgon;7;West Yorkshire;64754;7997;20530;1296;7256;1117;0;0;0
Leeds North East;Fabian Hamilton;7;West Yorkshire;69097;15887;23137;2569;3706;2541;0;0;451
Leeds North West;Greg Mulholland;7;West Yorkshire;61974;8083;13041;15948;2997;3042;0;0;246
Leeds West;Rachel Reeves;7;West Yorkshire;64950;7729;18456;1495;7104;3217;0;0;422
Leicester East;Keith Vaz;10;Leicestershire;75430;11034;29386;1233;4290;1468;0;0;657
Leicester South;Jonathan Ashworth;10;Leicestershire;73518;9628;27473;2127;3832;2533;0;0;349
Leicester West;Elizabeth Kendall;10;Leicestershire;63204;8848;16051;1507;5950;1878;0;0;288
Leicestershire North West;Andrew Bridgen;10;Leicestershire;72194;25505;14132;2033;8704;1174;0;0;0
Leicestershire South;Alberto Costa;10;Leicestershire;76877;28700;11876;3987;9363;0;0;0;0
Leigh;Andrew Burnham;6;Western Manchester;75974;10216;24312;1150;8903;0;0;0;542
Lewes;Maria Caulfield;20;East Sussex;69481;19206;5000;18123;5427;2784;0;0;0
Lewisham Deptford;Vicky Foxcroft;17;Lewisham;73426;7056;28572;2497;2013;5932;0;0;1356
Lewisham East;Heidi Alexander;17;Lewisham;73428;9574;23907;2455;3886;2429;0;0;672
